Student_ID,Name,Gender,Age,State,City,Marital_Status,Study_Hours,Marks,Attendance_Percentage,Sleep_Hours,Extra_Classes,Sports_Participation
1,Alisha Sahni,Male,21,Arunachal Pradesh,Kishanganj,Married,10.42,50.29,54.65,7.1,Yes,No
2,Divyansh Varkey,Female,20,Gujarat,Tiruppur,Single,12.15,62.83,57.19,6.1,No,No
3,Diya Lalla,Female,23,Kerala,Jammu,Single,4.51,22.28,55.23,8.7,Yes,Yes
4,Gatik Gala,Female,21,Arunachal Pradesh,Sirsa,Single,9.75,43.84,71.15,4.2,No,No
5,Dhanuk Sinha,Male,19,Tamil Nadu,Nizamabad,Single,9.0,50.61,89.78,5.1,Yes,No
6,Abram Jain,Male,17,Punjab,Arrah,Single,12.66,74.9,57.07,6.8,No,No
7,Onkar Chand,Male,22,Jharkhand,Kurnool,Single,13.69,69.43,56.52,7.1,Yes,Yes
8,Purab Dayal,Female,23,Meghalaya,Mahbubnagar,Single,1.17,1.33,82.17,4.2,Yes,No
9,Mahika Tak,Female,23,Rajasthan,Ratlam,Single,10.44,44.46,59.86,6.0,Yes,No
10,Stuvan Dube,Female,24,Tamil Nadu,New Delhi,Single,1.73,9.94,54.88,7.2,No,Yes
11,Neelofar Choudhury,Male,19,Telangana,Kolhapur,Single,8.68,48.92,58.34,7.5,No,Yes
12,Zain Chada,Other,19,Arunachal Pradesh,Shahjahanpur,Single,5.03,27.53,96.19,7.2,Yes,No
13,Aarush Yadav,Female,18,West Bengal,Agartala,Single,5.29,26.44,91.07,5.6,No,No
14,Raunak Dutt,Male,23,West Bengal,Proddatur,Single,5.94,26.75,67.7,4.5,No,No
15,Rati Bumb,Male,18,Meghalaya,Gwalior,Single,9.7,43.04,82.79,6.1,No,No
16,Ranbir Chander,Male,18,Uttarakhand,Uluberia,Married,5.68,32.57,76.86,4.6,No,No
17,Armaan Sethi,Male,22,Haryana,Alwar,Single,11.26,60.87,83.86,8.7,No,Yes
18,Fateh Mani,Female,18,Gujarat,Raipur,Single,6.66,25.57,84.13,6.4,Yes,Yes
19,Ahana  Luthra,Male,21,Madhya Pradesh,Ambarnath,Single,1.96,17.75,81.44,5.6,No,No
20,Dhruv Dave,Male,20,Assam,Jalgaon,Single,11.97,62.72,63.31,7.8,No,No
21,Taimur Ramanathan,Female,17,Odisha,Hindupur,Single,5.0,32.0,51.95,6.5,No,Yes
22,Krish Kalla,Male,19,Punjab,Jalna,Single,7.06,28.59,72.78,5.6,Yes,No
23,Eva Aggarwal,Male,21,Tripura,Malda,Single,10.6,46.17,94.55,8.1,Yes,No
24,Lagan Kapoor,Male,17,Tripura,Bilaspur,Single,5.65,27.51,78.47,8.3,No,No
25,Piya Shroff,Male,23,Gujarat,Bihar Sharif,Single,1.79,11.46,91.62,7.4,No,No
26,Eva Bora,Female,23,Arunachal Pradesh,Bhiwani,Single,6.23,40.13,99.58,4.2,No,No
27,Saira Kohli,Male,23,Jharkhand,Katihar,Single,14.22,74.63,58.18,6.8,No,Yes
28,Tushar Tandon,Female,21,Tripura,Mango,Married,9.98,48.69,84.59,7.8,Yes,No
29,Alisha Raju,Female,21,Tripura,Khandwa,Single,10.4,46.87,83.71,4.7,No,No
30,Kanav Bassi,Male,19,Uttarakhand,Bhatpara,Single,9.85,55.4,99.0,5.1,No,No
31,Pari Thakur,Female,20,Chhattisgarh,Raipur,Married,3.79,14.13,99.28,8.4,No,No
32,Samiha Tandon,Male,24,Uttar Pradesh,Chennai,Single,6.86,42.44,84.33,4.1,Yes,No
33,Divij Baral,Male,18,Maharashtra,Buxar,Single,11.51,56.13,62.18,7.8,No,Yes
34,Indrans Dayal,Female,23,Mizoram,Firozabad,Single,2.42,20.05,89.93,6.4,No,Yes
35,Jivin Ghosh,Other,22,Sikkim,Bijapur,Single,4.89,27.84,55.35,6.2,Yes,No
